,volatile acidity,total sulfur dioxide,fixed acidity,pH,quality
696,0.65,25.0,7.0,3.47,6
697,0.65,25.0,7.0,3.47,6
698,0.615,72.0,9.4,3.31,5
699,0.38,19.0,11.8,3.11,6
700,1.02,88.0,10.6,3.08,6
701,0.65,25.0,7.0,3.47,6
702,0.64,23.0,7.0,3.47,6
703,0.38,84.0,7.5,3.32,4
704,0.765,14.0,9.1,3.29,4
705,1.035,54.0,8.4,3.37,5
706,0.78,19.0,7.0,3.4,5
707,0.49,37.0,7.4,3.37,5
708,0.545,35.0,7.8,3.34,6
709,0.31,33.0,9.7,3.27,6
710,1.025,84.0,10.6,3.06,5
711,0.565,112.0,8.9,3.38,5
712,0.69,33.0,8.7,3.36,5
713,0.43,48.0,8.0,3.34,5
714,0.74,77.0,9.9,3.28,5
715,0.49,34.0,7.2,3.29,6
716,0.43,48.0,8.0,3.34,5
717,0.46,49.0,7.6,3.21,5
718,0.56,22.0,8.4,3.22,5
719,0.66,45.0,7.1,3.46,5
720,0.56,22.0,8.4,3.22,5
721,0.48,106.0,8.9,3.1,5
722,0.42,48.0,7.6,3.21,5
723,0.31,127.0,7.1,2.94,5
724,1.115,12.0,7.5,3.54,4
725,0.66,13.0,9.0,3.29,5
726,0.72,49.0,8.1,3.43,6
727,0.57,11.0,6.4,3.46,5
728,0.57,11.0,6.4,3.46,5
729,0.865,58.0,6.4,3.61,6
730,0.55,37.0,9.5,3.17,5
731,0.875,14.0,8.9,3.44,5
732,0.835,19.0,7.3,3.39,5
733,0.45,72.0,7.0,3.55,5
734,0.56,39.0,7.7,3.48,5
735,0.965,22.0,7.7,3.26,5
736,0.965,22.0,7.7,3.26,5
737,0.59,58.0,8.2,3.5,6
738,0.46,104.0,9.0,3.1,5
739,0.69,38.0,9.0,3.35,5
740,0.76,16.0,8.3,3.45,6
741,0.53,139.0,9.2,3.21,5
742,0.615,18.0,6.5,3.46,5
743,0.41,101.0,11.6,3.13,5
744,0.39,101.0,11.1,3.13,5
745,0.51,28.0,7.3,3.52,6
746,0.34,57.0,8.2,3.3,6
747,0.33,68.0,8.6,3.3,5
748,0.5,31.0,7.2,3.52,6
749,0.51,28.0,7.3,3.52,6
750,0.65,40.0,8.3,3.29,5
751,0.65,40.0,8.3,3.29,5
752,0.54,66.0,7.6,3.39,5
753,0.65,40.0,8.3,3.29,5
754,0.48,32.0,7.8,3.09,6
755,0.91,47.0,7.8,3.51,6
756,0.98,33.0,6.3,3.6,6
757,0.87,31.0,8.1,3.25,5
758,0.87,31.0,8.1,3.25,5
759,0.42,88.0,8.8,3.19,5
760,0.58,104.0,9.0,3.23,5
761,0.655,35.0,9.3,3.25,5
762,0.7,19.0,8.8,3.31,6
763,0.655,35.0,9.3,3.25,5
764,0.68,44.0,9.1,3.31,6
765,0.67,48.0,9.2,3.31,6
766,0.59,74.0,8.8,3.14,5
767,0.6,98.0,7.5,3.45,5
768,0.59,94.0,7.1,3.55,6
769,0.72,32.0,7.9,3.39,5
770,0.59,94.0,7.1,3.55,6
771,0.685,143.0,9.4,3.28,5
772,0.57,144.0,9.5,3.27,5
773,0.4,44.0,7.9,3.3,6
774,0.4,45.0,7.9,3.31,6
775,1.0,16.0,7.2,3.43,5
776,0.765,48.0,6.9,3.4,6
777,0.635,18.0,6.9,3.4,6
778,0.43,34.0,8.3,3.36,5
779,0.52,92.0,7.1,3.5,5
780,0.57,45.0,7.0,3.31,6
781,0.46,37.0,6.5,3.66,5
782,0.82,96.0,9.0,3.36,5
783,0.46,37.0,6.5,3.66,5
784,0.59,85.0,7.1,3.55,5
785,0.35,61.0,9.9,3.21,5
786,0.35,61.0,9.9,3.21,5
787,0.56,58.0,10.0,3.18,6
788,0.56,58.0,10.0,3.18,6
789,0.63,119.0,8.6,3.09,5
790,0.37,82.0,7.4,3.33,6
791,0.64,130.0,8.8,3.23,5
792,0.61,87.0,7.1,3.48,6
793,0.6,13.0,7.7,3.38,5
794,0.27,26.0,10.1,3.17,6
795,0.89,60.0,10.8,2.99,5
796,0.46,64.0,8.7,3.1,5
797,0.37,42.0,9.3,3.24,7
798,0.5,14.0,9.4,3.29,6
799,0.5,14.0,9.4,3.29,6
800,0.61,108.0,7.2,3.25,5
801,0.55,17.0,8.6,3.23,5
802,0.585,86.0,5.1,3.56,7
803,0.56,46.0,7.7,3.24,6
804,0.52,18.0,8.4,3.26,6
805,0.28,10.0,8.2,3.33,7
806,0.25,10.0,8.4,3.27,7
807,0.28,10.0,8.2,3.33,7
808,0.53,12.0,7.4,3.26,5
809,0.48,15.0,7.6,3.22,6
810,0.49,14.0,7.3,3.3,5
811,0.5,24.0,12.9,3.09,6
812,0.45,38.0,10.8,3.24,5
813,0.39,7.0,6.9,3.44,4
814,0.41,41.0,12.6,3.21,6
815,0.45,38.0,10.8,3.24,5
816,0.51,30.0,9.8,3.23,6
817,0.29,27.0,10.8,3.28,6
818,0.715,47.0,7.1,3.29,5
819,0.66,59.0,9.1,3.28,5
820,0.685,22.0,7.0,3.34,5
821,0.42,42.0,4.9,3.71,7
822,0.54,36.0,6.7,3.61,5
823,0.54,36.0,6.7,3.61,5
824,0.48,16.0,7.1,3.24,5
825,0.46,37.0,7.1,3.36,5
826,0.27,8.0,7.5,3.4,7
827,0.46,37.0,7.1,3.36,5
828,0.57,45.0,7.8,3.46,8
829,0.61,24.0,5.9,3.56,6
830,0.685,9.0,7.5,3.38,4
831,0.61,24.0,5.9,3.56,6
832,0.44,48.0,10.4,3.38,3
833,0.47,51.0,11.6,3.38,4
834,0.685,23.0,8.8,3.32,5
835,0.665,55.0,7.6,3.39,5
836,0.28,100.0,6.7,3.26,7
837,0.28,100.0,6.7,3.26,7
838,0.31,28.0,10.1,3.24,7
839,0.5,26.0,6.0,3.46,5
840,0.42,34.0,11.1,3.24,7
841,0.66,31.0,6.6,3.45,5
842,0.5,68.0,10.6,3.23,6
843,0.685,92.0,7.1,3.28,5
844,0.25,42.0,9.9,3.18,6
845,0.64,31.0,6.4,3.59,5
846,0.64,31.0,6.4,3.59,5
847,0.68,39.0,7.4,3.5,6
848,0.64,31.0,6.4,3.59,5
849,0.63,32.0,6.4,3.58,5
850,0.43,22.0,9.3,3.28,5
851,0.43,22.0,9.3,3.28,5
852,0.42,122.0,8.0,3.22,5
853,0.36,55.0,9.3,3.47,6
854,0.36,55.0,9.3,3.47,6
855,0.735,14.0,7.6,3.51,7
856,0.36,55.0,9.3,3.47,6
857,0.26,47.0,8.2,3.4,7
858,0.28,32.0,11.7,3.15,7
859,0.56,24.0,6.8,3.4,6
860,0.62,85.0,7.2,3.51,5
861,1.01,88.0,5.8,3.66,6
862,0.42,25.0,7.5,3.24,5
863,0.62,84.0,7.2,3.51,5
864,0.62,85.0,7.2,3.51,5
865,0.635,86.0,7.2,3.51,5
866,0.49,24.0,6.8,3.41,6
867,0.51,22.0,6.9,3.4,6
868,0.56,24.0,6.8,3.4,6
869,0.63,43.0,7.6,3.44,6
870,0.715,43.0,7.7,3.41,6
871,0.56,46.0,6.9,3.53,5
872,0.35,48.0,7.3,3.43,4
873,0.21,10.0,9.1,3.23,7
874,0.38,10.0,10.4,3.12,7
875,0.31,16.0,8.8,3.31,7
876,0.47,14.0,7.1,3.4,4
877,0.715,43.0,7.7,3.41,6
878,0.61,69.0,8.8,3.22,6
879,0.6,88.0,7.2,3.53,5
880,0.56,21.0,9.2,3.15,5
881,0.715,35.0,7.6,3.48,6
882,0.31,26.0,8.4,3.22,6
883,0.6,88.0,7.2,3.53,5
884,0.61,69.0,8.8,3.22,6
885,0.75,30.0,8.9,3.34,5
886,0.8,28.0,9.0,3.33,6
887,0.52,56.0,10.7,3.15,7
888,0.57,64.0,6.8,3.43,6
889,0.9,99.0,10.7,3.22,5
890,0.34,52.0,7.2,3.44,5
891,0.66,86.0,7.2,3.53,5
892,0.45,18.0,10.1,3.22,6
893,0.66,86.0,7.2,3.53,5
894,0.63,88.0,7.2,3.53,6
895,0.59,43.0,7.1,3.42,6
896,0.31,43.0,8.3,3.31,7
897,0.59,43.0,7.1,3.42,6
898,0.31,43.0,8.3,3.31,7
899,1.02,11.0,8.3,3.48,3
900,0.31,39.0,8.9,3.4,5
901,0.635,33.0,7.4,3.58,7
902,0.635,33.0,7.4,3.58,7
903,0.59,18.0,6.8,3.41,7
904,0.59,18.0,6.8,3.41,7
905,0.58,115.0,9.2,3.23,5
906,0.54,78.0,7.2,3.39,5
907,0.56,9.0,6.1,3.59,6
908,0.52,61.0,7.4,3.43,6
909,0.305,11.0,7.3,3.29,6
910,0.38,11.0,9.3,3.23,6
911,0.28,9.0,9.1,3.18,6
912,0.46,8.0,10.0,3.33,6
913,0.395,10.0,9.4,3.27,7
914,0.305,11.0,7.3,3.29,6
915,0.315,6.0,8.6,3.27,6
916,0.715,62.0,5.3,3.62,5
917,0.41,45.0,6.8,3.38,6
918,0.36,79.0,8.4,3.3,6
919,0.62,46.0,8.4,3.38,6
920,0.41,23.0,9.6,3.24,5
921,0.36,79.0,8.4,3.3,6
922,0.62,46.0,8.4,3.38,6
923,0.41,45.0,6.8,3.38,6
924,0.47,28.0,8.6,3.18,5
925,0.22,77.0,8.6,3.47,7
926,0.24,73.0,9.4,3.47,6
927,0.67,75.0,8.4,3.2,4
928,0.47,28.0,8.6,3.18,5
929,0.33,19.0,8.7,3.3,7
930,0.61,25.0,6.6,3.69,5
931,0.61,38.0,7.4,3.48,5
932,0.4,66.0,7.6,3.45,6
933,0.61,38.0,7.4,3.48,5
934,0.61,25.0,6.6,3.69,5
935,0.3,72.0,8.8,3.39,6
936,0.3,72.0,8.8,3.39,6
937,0.63,26.0,12.0,3.07,4
938,0.38,42.0,7.2,3.34,7
939,0.46,11.0,6.2,3.61,5
940,0.33,25.0,9.6,3.36,7
941,0.27,17.0,9.9,3.19,7
942,0.43,52.0,10.1,3.22,7
943,0.5,45.0,9.8,3.24,7
944,0.3,24.0,8.3,3.27,7
945,0.44,20.0,10.2,3.14,7
946,0.44,24.0,10.2,3.29,7
947,0.28,12.0,8.3,3.26,7
948,0.12,21.0,8.9,3.41,7
949,0.12,21.0,8.9,3.41,7
950,0.12,21.0,8.9,3.41,7
951,0.28,12.0,8.3,3.26,7
952,0.31,10.0,8.2,3.31,7
953,0.34,9.0,10.2,3.2,7
954,0.43,11.0,7.6,3.44,6
955,0.21,23.0,8.5,3.36,5
956,0.36,10.0,9.0,3.31,6
957,0.37,51.0,9.5,3.29,6
958,0.57,36.0,6.4,3.47,7
959,0.59,32.0,8.0,3.36,5
960,0.47,38.0,8.5,3.16,6
961,0.56,18.0,7.1,3.27,5
962,0.57,16.0,6.6,3.38,5
963,0.27,27.0,8.8,3.15,6
964,0.47,38.0,8.5,3.16,6
965,0.34,48.0,8.3,3.34,6
966,0.38,10.0,9.0,3.13,7
967,0.66,113.0,8.5,3.13,5
968,0.4,46.0,9.0,3.2,6
969,0.56,22.0,6.7,3.46,5
970,0.26,10.0,10.4,3.33,6
971,0.26,10.0,10.4,3.33,6
972,0.38,13.0,10.1,3.22,7
973,0.34,12.0,8.5,3.52,5
974,0.33,13.0,8.8,3.3,7
975,0.41,72.0,7.2,3.44,5
976,0.41,72.0,7.2,3.44,5
977,0.59,119.0,8.4,3.15,5
978,0.4,29.0,7.0,3.28,7
979,0.45,6.0,12.2,3.13,5
980,0.5,17.0,9.1,3.32,6
981,0.86,28.0,9.5,3.25,5
982,0.52,70.0,7.3,3.34,6
983,0.5,17.0,9.1,3.32,6
984,0.45,6.0,12.2,3.13,5
985,0.58,11.0,7.4,3.45,6
986,0.34,7.0,9.8,3.19,7
987,0.36,70.0,7.1,3.44,5
988,0.39,27.0,7.7,3.16,5
989,0.295,21.0,9.7,3.14,6
990,0.39,27.0,7.7,3.16,5
991,0.34,68.0,7.1,3.45,5
992,0.4,47.0,6.5,3.36,6
993,0.34,68.0,7.1,3.45,5
994,0.35,88.0,10.0,3.15,5
995,0.6,41.0,7.7,3.39,6
996,0.66,11.0,5.6,3.71,7
997,0.66,11.0,5.6,3.71,7
998,0.84,10.0,8.9,3.12,6
999,0.69,12.0,6.4,3.47,6
1000,0.43,12.0,7.5,3.44,7
1001,0.35,47.0,9.9,3.26,7
1002,0.29,27.0,9.1,3.26,7
1003,0.36,8.0,6.8,3.36,7
1004,0.43,45.0,8.2,3.25,5
1005,0.36,8.0,6.8,3.36,7
1006,0.29,27.0,9.1,3.26,7
1007,0.3,25.0,9.1,3.26,7
1008,0.35,24.0,8.9,3.23,7
1009,0.5,55.0,9.6,3.18,5
1010,0.28,12.0,8.9,3.25,7
1011,0.32,19.0,8.9,3.17,6
1012,1.005,32.0,7.7,3.23,5
1013,0.71,31.0,7.5,3.38,6
1014,0.58,7.0,8.0,3.22,6
1015,0.39,27.0,10.5,3.06,6
1016,0.38,28.0,8.9,3.27,7
1017,0.18,109.0,8.0,2.89,6
1018,0.18,109.0,8.0,2.89,6
1019,0.5,23.0,7.0,3.53,5
1020,0.36,8.0,11.3,3.2,6
1021,0.36,8.0,11.3,3.2,6
1022,0.51,9.0,7.0,3.35,5
1023,0.32,9.0,8.2,3.27,6
1024,0.58,18.0,7.7,3.32,7
1025,0.83,43.0,8.6,3.33,6
1026,0.31,36.0,7.9,3.41,6
1027,0.795,52.0,6.4,3.49,5
1028,0.34,68.0,7.2,3.37,6
1029,0.58,18.0,7.7,3.32,7
1030,0.59,14.0,7.1,3.42,7
1031,0.55,15.0,7.3,3.35,7
1032,0.82,14.0,8.1,3.36,5
1033,0.57,27.0,7.5,3.3,6
1034,0.745,48.0,8.9,3.2,6
1035,0.37,17.0,10.1,3.17,7
1036,0.31,35.0,7.6,3.22,7
1037,0.91,56.0,7.3,3.35,5
1038,0.41,42.0,8.7,3.24,7
1039,0.5,39.0,8.9,3.33,6
1040,0.965,32.0,7.4,3.58,5
1041,0.49,26.0,6.9,3.38,6
1042,0.5,39.0,8.9,3.33,6
1043,0.39,39.0,9.5,3.29,7
1044,0.39,53.0,6.4,3.36,6
1045,0.44,38.0,6.9,3.32,6
1046,0.78,45.0,7.6,3.31,6
1047,0.43,51.0,7.1,3.49,5
1048,0.49,14.0,9.3,3.27,6
1049,0.5,17.0,9.3,3.27,6
1050,0.43,51.0,7.1,3.49,5
1051,0.46,45.0,8.5,3.03,5
1052,0.605,25.0,5.6,3.56,5
1053,0.33,20.0,8.3,3.38,7
1054,0.64,77.0,8.2,3.13,6
1055,0.64,77.0,8.2,3.13,6
1056,0.48,10.0,8.9,3.21,7
1057,0.42,90.0,7.6,3.15,5
1058,0.53,52.0,9.9,3.19,7
1059,0.48,10.0,8.9,3.21,7
1060,0.23,8.0,11.6,3.14,6
1061,0.4,16.0,9.1,3.21,8
1062,0.38,15.0,8.0,3.3,6
1063,0.29,17.0,10.2,3.22,6
1064,0.74,10.0,8.2,3.28,6
1065,0.61,20.0,7.7,3.29,6
1066,0.52,26.0,6.6,3.4,7
1067,0.31,10.0,11.1,3.02,7
1068,0.31,10.0,11.1,3.02,7
1069,0.62,52.0,8.0,3.31,5
1070,0.33,37.0,9.3,3.18,7
1071,0.77,92.0,7.5,3.2,5
1072,0.35,75.0,7.2,3.4,6
1073,0.62,37.0,8.0,3.31,6
1074,0.77,92.0,7.5,3.2,5
1075,0.25,67.0,9.1,3.44,7
1076,0.32,8.0,9.9,3.15,6
1077,0.37,8.0,8.6,3.27,5
1078,0.37,8.0,8.6,3.27,5
1079,0.3,278.0,7.9,3.01,7
1080,0.27,8.0,10.3,3.16,6
1081,0.3,289.0,7.9,3.01,7
1082,0.38,70.0,7.2,3.42,6
1083,0.42,59.0,8.7,3.33,6
1084,0.38,70.0,7.2,3.42,6
1085,0.48,64.0,6.8,3.12,5
1086,0.34,9.0,8.5,3.38,7
1087,0.19,30.0,7.9,3.29,6
1088,0.41,41.0,11.6,3.02,7
1089,0.41,41.0,11.6,3.02,7
1090,0.26,74.0,10.0,2.98,8
1091,0.34,19.0,7.9,3.35,6
1092,0.54,16.0,7.0,3.43,6
1093,0.31,31.0,9.2,3.33,7
1094,0.725,17.0,6.6,3.35,6
1095,0.4,20.0,9.4,3.15,5
1096,0.725,17.0,6.6,3.35,6
1097,0.52,18.0,8.6,3.2,5
1098,0.31,16.0,8.0,3.15,7
1099,0.52,18.0,8.6,3.2,5
1100,0.34,36.0,8.4,3.11,6
1101,0.49,25.0,7.4,3.35,6
1102,0.48,30.0,6.1,3.45,6
1103,0.49,25.0,7.4,3.35,6
1104,0.48,25.0,8.0,3.28,6
1105,0.57,49.0,6.3,3.41,5
1106,0.23,17.0,8.2,3.21,6
1107,0.3,24.0,9.1,3.27,7
1108,0.78,13.0,8.1,3.36,5
1109,0.47,66.0,10.8,3.17,6
1110,0.53,14.0,8.3,3.25,6
1111,0.42,55.0,5.4,3.78,7
1112,0.33,35.0,7.9,3.29,6
1113,0.24,10.0,8.9,3.12,6
1114,0.4,80.0,5.0,3.49,6
1115,0.69,21.0,7.0,3.38,6
1116,0.69,21.0,7.0,3.38,6
1117,0.69,21.0,7.0,3.38,6
1118,0.39,24.0,7.1,3.3,6
1119,0.66,15.0,5.6,3.52,5
1120,0.54,17.0,7.9,3.2,8
1121,0.5,28.0,6.6,3.44,6
1122,0.47,33.0,6.3,3.45,6
1123,0.4,29.0,10.7,3.12,6
1124,0.58,13.0,6.5,3.62,4
1125,0.24,27.0,8.8,3.14,7
1126,0.29,11.0,5.8,3.39,6
1127,0.76,52.0,6.3,3.51,6
1128,0.43,89.0,10.0,3.22,5
1129,0.43,70.0,10.5,3.21,6
1130,0.6,10.0,9.1,3.18,6
1131,0.19,135.0,5.9,3.32,5
1132,0.36,38.0,7.4,3.38,7
1133,0.48,18.0,7.2,3.37,7
1134,0.28,15.0,8.5,3.3,7
1135,0.25,50.0,8.0,3.38,6
1136,0.52,13.0,10.4,3.22,6
1137,0.52,13.0,10.4,3.22,6
1138,0.41,94.0,7.5,3.14,5
1139,0.51,86.0,8.2,3.34,6
1140,0.4,79.0,7.3,3.41,6
1141,0.38,71.0,8.2,3.27,6
1142,0.45,12.0,6.9,3.3,6
1143,0.22,20.0,7.0,3.61,6
1144,0.32,70.0,7.3,3.43,5
1145,0.2,51.0,8.2,3.53,6
1146,0.5,21.0,7.8,3.28,6
1147,0.41,14.0,10.0,3.21,7
1148,0.39,21.0,7.8,3.39,6
1149,0.35,11.0,10.0,3.23,6
1150,0.33,12.0,8.2,3.3,7
1151,0.58,70.0,6.1,3.46,6
1152,0.6,38.0,8.3,3.15,5
1153,0.42,38.0,9.6,3.23,6
1154,0.58,63.0,6.6,3.59,6
1155,0.6,38.0,8.3,3.15,5
1156,0.18,88.0,8.5,3.33,7
1157,0.51,101.0,5.1,3.46,7
1158,0.41,54.0,6.7,3.42,6
1159,0.41,37.0,10.2,3.16,5
1160,0.36,20.0,10.6,3.14,7
1161,0.45,21.0,8.8,3.21,6
1162,0.32,19.0,8.5,3.14,7
1163,0.785,21.0,9.0,3.29,5
1164,0.785,21.0,9.0,3.29,5
1165,0.44,38.0,8.5,3.01,5
1166,0.54,60.0,9.9,2.94,5
1167,0.33,48.0,8.2,3.32,7
1168,0.34,44.0,6.5,3.21,6
1169,0.5,14.0,7.6,3.32,6
1170,0.36,12.0,9.2,3.2,6
1171,0.59,44.0,7.1,3.42,6
1172,0.42,16.0,9.7,3.27,6
1173,0.36,65.0,7.6,3.46,6
1174,0.36,65.0,7.6,3.46,6
1175,0.61,59.0,6.5,3.61,6
1176,0.88,47.0,6.5,3.58,4
1177,0.66,11.0,7.1,3.35,7
1178,0.915,78.0,5.6,3.68,5
1179,0.35,47.0,8.2,3.27,6
1180,0.35,47.0,8.2,3.27,6
1181,0.39,11.0,9.8,3.19,5
1182,0.4,54.0,10.2,3.38,6
1183,0.66,61.0,6.8,3.29,5
1184,0.64,119.0,6.7,3.36,5
1185,0.43,39.0,7.0,3.33,6
1186,0.8,12.0,6.6,3.52,5
1187,0.43,39.0,7.0,3.33,6
1188,0.64,119.0,6.7,3.36,5
1189,0.955,19.0,8.8,3.3,4
1190,0.4,20.0,9.1,3.28,6
1191,0.885,12.0,6.5,3.56,5
1192,0.25,41.0,7.2,3.52,7
1193,0.885,12.0,6.4,3.56,5
1194,0.745,64.0,7.0,3.22,6
1195,0.43,56.0,6.2,3.52,6
1196,0.58,94.0,7.9,3.21,6
1197,0.57,9.0,7.7,3.16,6
1198,0.26,77.0,7.7,3.15,6
1199,0.58,94.0,7.9,3.21,6
1200,0.57,9.0,7.7,3.16,6
1201,0.34,10.0,7.9,3.27,7
1202,0.42,12.0,8.6,3.35,8
1203,0.74,76.0,9.9,3.14,5
1204,0.36,44.0,7.2,3.4,7
1205,0.36,44.0,7.2,3.4,7
1206,0.36,44.0,7.2,3.4,7
1207,0.72,52.0,9.9,3.35,5
1208,0.36,44.0,7.2,3.4,7
1209,0.39,24.0,6.2,3.45,7
1210,0.65,15.0,6.8,3.35,6
1211,0.44,53.0,6.6,3.32,5
1212,0.65,15.0,6.8,3.35,6
1213,0.38,13.0,9.6,3.15,6
1214,0.33,9.0,10.2,3.1,6
1215,0.27,29.0,8.8,3.26,6
1216,0.57,79.0,7.9,3.29,6
1217,0.34,74.0,8.2,3.23,6
1218,0.4,24.0,8.2,3.24,6
1219,0.39,50.0,9.0,3.2,6
1220,0.32,44.0,10.9,3.28,6
1221,0.32,44.0,10.9,3.28,6
1222,0.53,89.0,8.1,3.26,6
1223,0.36,23.0,10.5,3.23,6
1224,0.39,20.0,12.6,3.07,6
1225,0.46,77.0,9.2,3.15,5
1226,0.58,46.0,7.5,3.02,5
1227,0.58,21.0,9.0,3.27,5
1228,0.42,88.0,5.1,3.68,7
1229,0.43,66.0,7.6,3.4,5
1230,0.18,58.0,7.7,3.37,6
1231,0.815,90.0,7.8,3.38,5
1232,0.43,66.0,7.6,3.4,5
1233,0.23,36.0,10.2,3.23,4
1234,0.75,18.0,7.1,3.39,6
1235,0.33,113.0,6.0,3.3,4
1236,0.55,17.0,7.8,3.26,6
1237,0.75,18.0,7.1,3.39,6
1238,0.73,24.0,8.1,3.38,4
1239,0.67,20.0,6.5,3.45,4
1240,0.61,60.0,7.5,3.1,5
1241,0.37,65.0,9.8,3.16,5
1242,0.4,40.0,9.0,3.22,6
1243,0.56,86.0,8.3,3.37,5
1244,0.29,160.0,5.9,3.33,6
1245,0.55,34.0,7.4,3.49,5
1246,0.74,48.0,7.4,3.12,5
1247,0.55,34.0,7.4,3.49,5
1248,0.41,36.0,6.9,3.41,6
1249,0.6,37.0,7.1,3.4,6
1250,0.6,37.0,7.1,3.4,6
1251,0.58,60.0,7.5,3.28,5
1252,0.72,14.0,7.1,3.45,5
1253,0.66,13.0,7.9,3.43,5
1254,0.7,35.0,7.8,3.4,5
1255,0.64,46.0,6.1,3.47,5
1256,0.59,60.0,7.5,3.1,5
1257,0.58,69.0,7.0,3.32,6
1258,0.64,33.0,6.8,3.44,6
1259,0.64,33.0,6.8,3.44,6
1260,0.635,56.0,8.6,3.02,5
1261,1.02,24.0,6.3,3.59,4
1262,0.45,66.0,9.8,3.15,5
1263,0.78,26.0,8.2,3.37,4
1264,0.37,51.0,8.5,3.38,6
1265,0.57,36.0,7.2,3.38,6
1266,0.57,36.0,7.2,3.38,6
1267,0.43,19.0,10.4,3.1,6
1268,0.41,51.0,6.9,3.47,6
1269,0.49,87.0,5.5,3.5,8
1270,0.38,60.0,5.0,3.7,6
1271,0.44,64.0,7.3,3.38,6
1272,0.46,44.0,5.9,3.5,5
1273,0.58,44.0,7.5,3.1,5
1274,0.58,36.0,7.8,3.24,6
1275,0.715,81.0,8.0,3.24,6
1276,0.4,10.0,8.5,3.28,4
1277,0.69,10.0,7.0,3.35,6
1278,0.715,81.0,8.0,3.24,6
1279,0.3,9.0,9.8,3.14,7
1280,0.46,54.0,7.1,3.37,6
1281,0.46,54.0,7.1,3.37,6
1282,0.765,22.0,7.9,3.33,6
1283,0.63,69.0,8.7,3.26,6
1284,0.42,36.0,7.0,3.39,5
1285,0.37,47.0,11.3,3.15,5
1286,0.16,31.0,7.1,3.35,6
1287,0.6,7.0,8.0,3.22,5
1288,0.6,110.0,7.0,3.3,5
1289,0.6,110.0,7.0,3.3,5
1290,0.74,12.0,7.6,3.36,5
1291,0.635,60.0,8.2,3.29,6
1292,0.395,28.0,5.9,3.62,6
1293,0.755,12.0,7.5,3.34,4
1294,0.635,60.0,8.2,3.29,6
1295,0.63,77.5,6.6,3.2,5
1296,0.63,77.5,6.6,3.2,5
1297,0.53,29.0,7.2,3.35,6
1298,0.6,18.0,5.7,3.45,6
1299,1.58,9.0,7.6,3.5,3
1300,0.645,28.0,5.2,3.78,6
1301,0.86,57.0,6.7,3.6,6
1302,0.37,15.0,9.1,3.3,6
1303,0.28,68.0,8.0,3.36,5
1304,0.79,68.0,7.6,3.12,5
1305,0.61,88.0,7.5,3.3,5
1306,0.69,91.0,9.7,3.29,5
1307,0.68,29.0,6.8,3.41,4
1308,0.69,91.0,9.7,3.29,5
1309,0.62,63.0,7.0,3.28,5
1310,0.61,88.0,7.5,3.3,5
1311,0.51,27.0,6.5,3.33,6
1312,1.18,41.0,8.0,3.34,5
1313,0.36,65.0,7.0,3.4,6
1314,0.36,69.0,7.0,3.4,6
1315,0.63,91.0,7.5,3.26,6
1316,0.74,46.0,5.4,4.01,6
1317,0.44,41.0,9.9,3.18,6
1318,0.63,91.0,7.5,3.26,6
1319,0.76,64.0,9.1,2.9,6
1320,0.66,88.0,9.7,3.26,5
1321,0.74,46.0,5.0,4.01,6
1322,0.34,18.0,9.1,3.18,5
1323,0.36,55.0,9.1,3.18,7
1324,0.46,34.0,6.7,3.39,6
1325,0.46,34.0,6.7,3.39,6
1326,0.46,34.0,6.7,3.39,6
1327,0.46,34.0,6.7,3.39,6
1328,0.52,38.0,6.5,3.34,5
1329,0.6,91.0,7.4,3.29,6
1330,0.6,91.0,7.4,3.29,6
1331,0.87,67.0,7.8,3.26,5
1332,0.39,25.0,8.4,3.09,6
1333,0.775,48.0,9.1,3.18,5
1334,0.835,11.0,7.2,3.39,5
1335,0.58,40.0,6.6,3.38,6
1336,0.5,26.0,6.0,3.36,5
1337,0.5,26.0,6.0,3.36,5
1338,0.5,26.0,6.0,3.36,5
1339,0.51,31.0,7.5,3.36,6
1340,0.51,31.0,7.5,3.36,6
1341,0.51,31.0,7.5,3.36,6
1342,0.54,31.0,7.6,3.37,6
1343,0.51,31.0,7.5,3.36,6
1344,0.42,20.0,11.5,3.09,5
1345,0.44,28.0,8.2,3.25,6
1346,0.59,13.0,6.1,3.52,5
1347,0.655,12.0,7.2,3.34,5
1348,0.655,12.0,7.2,3.34,5
1349,0.57,41.0,6.9,3.41,5
1350,0.6,73.0,9.0,3.34,5
1351,0.62,46.0,7.2,3.32,6
1352,0.645,57.0,7.6,3.37,5
1353,0.645,57.0,7.6,3.37,5
1354,0.58,28.0,7.2,3.35,5
1355,0.32,32.0,6.1,3.36,5
1356,0.34,28.0,6.1,3.36,5
1357,0.43,67.0,7.3,3.6,6
1358,0.64,98.0,7.4,3.28,5
1359,0.475,28.0,11.6,3.07,6
1360,0.54,38.0,9.2,3.24,5
1361,0.85,54.0,8.3,3.36,5
1362,0.475,28.0,11.6,3.07,6
1363,0.83,63.0,8.0,3.29,4
1364,0.605,31.0,7.2,3.46,6
1365,0.5,42.0,7.8,3.18,5
1366,0.74,45.0,7.3,3.24,5
1367,0.54,105.0,6.9,3.25,6
1368,0.77,74.0,8.0,3.27,6
1369,0.61,8.0,6.6,3.33,4
1370,0.78,66.0,8.7,3.0,5
1371,0.58,14.0,7.5,3.21,6
1372,0.78,66.0,8.7,3.0,5
1373,0.75,89.0,7.7,3.24,5
1374,0.815,29.0,6.8,3.32,3
